 Владимирская обл, Александровский р-н, Александров г; Королева ул, дом № 1;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Александровский р-н, Александров г; Ленина ул, дом № 13;;09:00-21:00;;Магнит;Гипермаркет
 Владимирская обл, Александровский р-н, Александров г; Ленина ул, дом № 18;;08:30-22:00;;Магнит;Гипермаркет
 Владимирская обл, Александровский р-н, Александров г; Ленина ул, дом № 2;;08:00-23:00;;Магнит;Гипермаркет
 Владимирская обл, Александровский р-н, Александров г; Революции ул, дом № 40а;;08:30-22:00;;Магнит;Гипермаркет
 Владимирская обл, Александровский р-н, Александров г; Ческа-Липа ул, дом № 14;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Балакирева ул, дом № 39;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Безыменского ул, дом № 17,в;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Белоконской ул, дом № 25;;08:00-23:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Верхняя Дуброва ул, дом № 26;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Горького ул, дом № 32;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Добросельская ул, дом № 169б;;10:00-21:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Добросельская ул, дом № 183;;09:00-21:30;;Магнит;Гипермаркет
Владимирская обл, Владимир г; Вокзальная ул, дом № 3;;08:30-21:30;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Дуброва Нижняя ул, дом № 30А;;09:00-22:30;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Завадского ул, дом № 9;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Комиссарова ул, дом № 24;;08:30-23:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Комиссарова ул, дом № 2е;;09:00-22:00;;Магнит;Гипермаркет
 Владимирская обл, Владимир г; Коммунар мкр, Зеленая ул, дом № 53а;;09:00-22:00;;Магнит;Гипермаркет
